rknn_run time=21.07ms, FPS = 47.46
rknn_run time=20.69ms, FPS = 48.33
rknn_run time=23.70ms, FPS = 42.20
rknn_run time=23.95ms, FPS = 41.75
rknn_run time=21.65ms, FPS = 46.19
rknn_run time=22.50ms, FPS = 44.44
rknn_run time=25.60ms, FPS = 39.06
rknn_run time=22.36ms, FPS = 44.72
rknn_run time=21.56ms, FPS = 46.37
rknn_run time=24.91ms, FPS = 40.14
rknn_run time=21.80ms, FPS = 45.87
rknn_run time=24.84ms, FPS = 40.26
rknn_run time=23.50ms, FPS = 42.55
rknn_run time=21.61ms, FPS = 46.28
rknn_run time=28.51ms, FPS = 35.08
rknn_run time=32.88ms, FPS = 30.42
rknn_run time=28.12ms, FPS = 35.57
pose_bytetrack frame=660 high=2 low=0 tracks=2 visible=2
rknn_run time=33.65ms, FPS = 29.72
rknn_run time=38.43ms, FPS = 26.02
rknn_run time=35.60ms, FPS = 28.09
rknn_run time=23.84ms, FPS = 41.95
rknn_run time=21.23ms, FPS = 47.11
rknn_run time=23.97ms, FPS = 41.72
rknn_run time=35.63ms, FPS = 28.07
rknn_run time=26.58ms, FPS = 37.63
rknn_run time=29.52ms, FPS = 33.88
rknn_run time=23.21ms, FPS = 43.08
rknn_run time=35.77ms, FPS = 27.95
rknn_run time=26.50ms, FPS = 37.74
rknn_run time=25.99ms, FPS = 38.48
rknn_run time=26.63ms, FPS = 37.55
rknn_run time=44.02ms, FPS = 22.72
rknn_run time=35.05ms, FPS = 28.53
rknn_run time=36.07ms, FPS = 27.72
rknn_run time=26.44ms, FPS = 37.82
rknn_run time=25.40ms, FPS = 39.37
rknn_run time=24.93ms, FPS = 40.12
rknn_run time=36.48ms, FPS = 27.41
rknn_run time=25.04ms, FPS = 39.93
rknn_run time=25.33ms, FPS = 39.48
rknn_run time=24.57ms, FPS = 40.69
rknn_run time=37.09ms, FPS = 26.96
rknn_run time=23.24ms, FPS = 43.03
rknn_run time=25.19ms, FPS = 39.70
rknn_run time=26.47ms, FPS = 37.78
rknn_run time=36.62ms, FPS = 27.31
rknn_run time=40.02ms, FPS = 24.99
pose_bytetrack frame=690 high=2 low=0 tracks=2 visible=2
rknn_run time=22.16ms, FPS = 45.12
rknn_run time=23.77ms, FPS = 42.07
rknn_run time=21.83ms, FPS = 45.80
rknn_run time=21.86ms, FPS = 45.74
rknn_run time=33.32ms, FPS = 30.01
rknn_run time=27.48ms, FPS = 36.38
rknn_run time=22.24ms, FPS = 44.96
rknn_run time=22.31ms, FPS = 44.82
rknn_run time=22.30ms, FPS = 44.84
rknn_run time=23.83ms, FPS = 41.97
rknn_run time=22.66ms, FPS = 44.13
rknn_run time=22.55ms, FPS = 44.34
rknn_run time=22.56ms, FPS = 44.33
rknn_run time=24.34ms, FPS = 41.08
rknn_run time=25.28ms, FPS = 39.55
rknn_run time=22.44ms, FPS = 44.57
rknn_run time=24.29ms, FPS = 41.16
rknn_run time=23.08ms, FPS = 43.32
rknn_run time=22.40ms, FPS = 44.65
rknn_run time=21.37ms, FPS = 46.79
rknn_run time=21.61ms, FPS = 46.28
rknn_run time=23.73ms, FPS = 42.14
rknn_run time=25.18ms, FPS = 39.71
rknn_run time=21.30ms, FPS = 46.95
rknn_run time=33.36ms, FPS = 29.97
rknn_run time=35.76ms, FPS = 27.97
rknn_run time=23.25ms, FPS = 43.02
rknn_run time=24.25ms, FPS = 41.24
rknn_run time=33.34ms, FPS = 29.99
rknn_run time=28.21ms, FPS = 35.45
pose_bytetrack frame=720 high=2 low=0 tracks=2 visible=2
rknn_run time=24.02ms, FPS = 41.63
rknn_run time=27.15ms, FPS = 36.83
rknn_run time=35.67ms, FPS = 28.04
rknn_run time=31.78ms, FPS = 31.47
rknn_run time=25.06ms, FPS = 39.90
rknn_run time=22.40ms, FPS = 44.65
rknn_run time=33.76ms, FPS = 29.62
rknn_run time=21.32ms, FPS = 46.91
rknn_run time=22.52ms, FPS = 44.40
rknn_run time=24.65ms, FPS = 40.57
rknn_run time=36.43ms, FPS = 27.45
rknn_run time=33.71ms, FPS = 29.66
rknn_run time=26.59ms, FPS = 37.61
rknn_run time=25.61ms, FPS = 39.05
rknn_run time=40.03ms, FPS = 24.98
rknn_run time=26.38ms, FPS = 37.91
rknn_run time=26.16ms, FPS = 38.22
rknn_run time=26.23ms, FPS = 38.12
rknn_run time=36.49ms, FPS = 27.40
rknn_run time=32.71ms, FPS = 30.57
rknn_run time=24.63ms, FPS = 40.59
rknn_run time=25.05ms, FPS = 39.91
rknn_run time=23.70ms, FPS = 42.20
rknn_run time=35.58ms, FPS = 28.11
rknn_run time=26.34ms, FPS = 37.97
rknn_run time=21.05ms, FPS = 47.50
rknn_run time=29.59ms, FPS = 33.79
rknn_run time=41.51ms, FPS = 24.09
rknn_run time=27.67ms, FPS = 36.15
rknn_run time=22.44ms, FPS = 44.56
pose_bytetrack frame=750 high=2 low=0 tracks=2 visible=2
rknn_run time=23.21ms, FPS = 43.08
rknn_run time=30.94ms, FPS = 32.32
rknn_run time=22.07ms, FPS = 45.31
rknn_run time=20.52ms, FPS = 48.72
rknn_run time=21.58ms, FPS = 46.35
rknn_run time=20.84ms, FPS = 47.98
rknn_run time=22.03ms, FPS = 45.40
rknn_run time=21.94ms, FPS = 45.57
rknn_run time=22.08ms, FPS = 45.29
