rknn_run time=26.45ms, FPS = 37.81
post_process time=0.20ms, FPS = 5050.50
rknn_run time=23.02ms, FPS = 43.43
post_process time=0.28ms, FPS = 3610.11
rknn_run time=26.32ms, FPS = 37.99
post_process time=0.24ms, FPS = 4237.29
rknn_run time=27.18ms, FPS = 36.79
post_process time=0.24ms, FPS = 4132.23
rknn_run time=27.81ms, FPS = 35.96
post_process time=0.24ms, FPS = 4166.67
rknn_run time=27.58ms, FPS = 36.25
post_process time=0.25ms, FPS = 4016.06
rknn_run time=26.70ms, FPS = 37.46
post_process time=0.23ms, FPS = 4273.50
rknn_run time=26.61ms, FPS = 37.58
post_process time=0.28ms, FPS = 3571.43
rknn_run time=25.96ms, FPS = 38.52
post_process time=0.28ms, FPS = 3546.10
rknn_run time=28.55ms, FPS = 35.02
post_process time=0.23ms, FPS = 4310.34
rknn_run time=26.53ms, FPS = 37.70
post_process time=0.23ms, FPS = 4255.32
rknn_run time=25.65ms, FPS = 38.98
post_process time=0.25ms, FPS = 3952.57
rknn_run time=29.55ms, FPS = 33.84
post_process time=0.23ms, FPS = 4273.50
rknn_run time=26.77ms, FPS = 37.35
post_process time=0.53ms, FPS = 1886.79
rknn_run time=26.09ms, FPS = 38.33
post_process time=0.46ms, FPS = 2159.83
rknn_run time=25.97ms, FPS = 38.50
post_process time=0.34ms, FPS = 2949.85
rknn_run time=26.46ms, FPS = 37.80
post_process time=0.24ms, FPS = 4237.29
rknn_run time=27.63ms, FPS = 36.19
post_process time=0.23ms, FPS = 4255.32
rknn_run time=26.89ms, FPS = 37.20
post_process time=0.23ms, FPS = 4273.50
rknn_run time=24.10ms, FPS = 41.49
post_process time=0.24ms, FPS = 4237.29
rknn_run time=20.67ms, FPS = 48.37
post_process time=0.22ms, FPS = 4504.50
rknn_run time=20.83ms, FPS = 48.00
post_process time=0.35ms, FPS = 2840.91
rknn_run time=20.83ms, FPS = 48.02
post_process time=0.24ms, FPS = 4166.67
rknn_run time=20.34ms, FPS = 49.17
post_process time=0.32ms, FPS = 3115.26
rknn_run time=23.70ms, FPS = 42.20
post_process time=0.51ms, FPS = 1968.50
rknn_run time=23.13ms, FPS = 43.23
post_process time=0.24ms, FPS = 4201.68
rknn_run time=21.02ms, FPS = 47.57
post_process time=0.37ms, FPS = 2732.24
rknn_run time=24.62ms, FPS = 40.62
post_process time=0.28ms, FPS = 3546.10
rknn_run time=19.55ms, FPS = 51.15
post_process time=0.13ms, FPS = 7812.50
rknn_run time=24.57ms, FPS = 40.70
post_process time=0.24ms, FPS = 4132.23
rknn_run time=23.58ms, FPS = 42.40
post_process time=0.24ms, FPS = 4184.10
rknn_run time=22.99ms, FPS = 43.50
post_process time=0.13ms, FPS = 7633.59
rknn_run time=22.28ms, FPS = 44.89
post_process time=0.13ms, FPS = 7812.50
rknn_run time=31.26ms, FPS = 31.99
post_process time=0.35ms, FPS = 2816.90
rknn_run time=27.47ms, FPS = 36.40
post_process time=0.35ms, FPS = 2840.91
rknn_run time=25.26ms, FPS = 39.58
post_process time=0.23ms, FPS = 4329.00
rknn_run time=29.95ms, FPS = 33.39
post_process time=0.34ms, FPS = 2932.55
rknn_run time=27.77ms, FPS = 36.00
post_process time=0.24ms, FPS = 4219.41
rknn_run time=24.59ms, FPS = 40.67
post_process time=0.13ms, FPS = 7633.59
rknn_run time=27.67ms, FPS = 36.13
post_process time=0.13ms, FPS = 7633.59
